Time,sensPitch,sensRoll,sensYaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,altitude
7689,-0.94,2.62,-0.06,-0.06,-0.31,-0.06,0.00,0.05,-0.24,0.00,0.00,0.53
7697,-0.94,2.62,-0.06,-0.06,0.06,0.00,0.00,0.03,-0.22,0.00,0.00,0.53
7706,-0.94,2.62,-0.06,-0.06,0.06,0.00,0.00,0.02,-0.23,0.00,0.00,0.54
7716,-0.94,2.62,-0.06,0.12,-0.25,-0.06,0.00,0.02,-0.23,0.00,0.00,0.52
7728,-0.94,2.62,-0.06,0.00,-0.12,-0.12,0.01,0.03,-0.23,0.00,0.00,0.52
7758,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.00,0.03,-0.24,0.00,0.00,0.52
7769,-0.94,2.62,-0.06,-0.06,0.00,0.00,0.00,0.02,-0.25,0.00,0.00,0.52
7777,-0.94,2.62,-0.06,0.00,0.06,0.06,0.00,0.01,-0.21,0.00,0.00,0.53
7789,-0.94,2.62,-0.06,0.00,0.06,0.06,0.00,0.01,-0.21,0.00,0.00,0.54
7797,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.00,0.01,-0.23,0.00,0.00,0.52
7809,-0.94,2.62,-0.06,-0.12,-0.19,0.06,0.01,0.02,-0.26,0.00,0.00,0.52
7817,-0.94,2.62,-0.06,0.00,-0.25,0.06,0.00,0.00,-0.23,0.00,0.00,0.53
7828,-0.94,2.62,-0.06,0.00,-0.25,0.06,0.01,0.01,-0.23,0.00,0.00,0.52
7836,-0.94,2.62,-0.06,0.12,-0.12,-0.06,0.00,0.03,-0.22,0.00,0.00,0.54
7847,-0.94,2.62,-0.06,0.12,-0.12,-0.06,0.00,0.05,-0.22,0.00,0.00,0.53
7856,-0.94,2.62,-0.06,-0.06,-0.12,0.06,-0.01,0.01,-0.25,0.00,0.00,0.53
7865,-0.94,2.62,-0.06,0.06,-0.25,-0.06,0.01,0.03,-0.25,0.00,0.00,0.53
7877,-0.94,2.62,-0.06,0.19,0.00,0.06,0.01,0.03,-0.25,0.00,0.00,0.52
7886,-0.94,2.62,-0.06,0.06,-0.12,0.06,0.00,0.00,-0.22,0.00,0.00,0.54
7920,-0.94,2.62,-0.06,-0.06,0.12,-0.12,0.00,0.04,-0.25,0.00,0.00,0.52
7928,-0.94,2.62,-0.06,-0.31,-0.19,0.12,0.00,0.01,-0.22,0.00,0.00,0.53
7939,-0.94,2.62,-0.06,0.06,0.00,-0.06,0.01,0.02,-0.24,0.00,0.00,0.52
7946,-0.94,2.62,-0.06,0.06,0.12,-0.06,0.00,0.00,-0.22,0.00,0.00,0.52
7956,-0.94,2.62,-0.06,0.06,0.12,-0.06,0.00,0.01,-0.25,0.00,0.00,0.53
